"n","simulation_run","seed","stringy_diameter","stringy_num_edges","stringy_num_vertices","penrose_diameter","penrose_num_edges","penrose_num_vertices","total_mst_length","stringy05"
3000,1,404,6.13113415384155,509,510,0.031943459432646,1,2,35.8151086728869,0.171188483883703
3000,2,405,4.74855459198534,400,401,0.0377270316648933,1,2,36.0015912394023,0.131898464165335
3000,3,406,4.86050949034489,390,391,0.0319972451746726,1,2,35.955994830343,0.135179391177438
3000,4,407,4.68925445598494,383,384,0.039505298747152,1,2,35.718449865088,0.131283817570379
3000,5,408,4.58551822450609,372,373,0.0388508324644081,1,2,36.0526811652849,0.127189381657459
3000,6,409,5.12906006119494,411,412,0.0351306525247379,1,2,36.0525205738315,0.142266337541953
3000,7,410,4.44071678269762,373,374,0.0299399207454018,1,2,35.851445557253,0.123864371817477
3000,8,411,5.56577121911608,460,461,0.0320828732834198,1,2,35.855459776296,0.15522799746095
3000,9,412,4.22347771330346,345,346,0.0365042496287882,1,2,35.7833369252405,0.118029174364796
3000,10,413,4.76933115116482,392,393,0.0350392717101159,1,2,35.5345005357594,0.134216918185337
3000,11,414,4.83433669088168,395,396,0.0342722439014345,1,2,36.074342801142,0.134010388422894
3000,12,415,5.45875854804484,450,451,0.033219791737674,1,2,35.8744102796594,0.152163018304441
3000,13,416,4.44499630373169,382,383,0.036365650163121,1,2,35.6909239455185,0.124541362686965
3000,14,417,3.64923529912289,298,299,0.0351917212531496,1,2,35.7551070607485,0.102061931822013
3000,15,418,3.28368643020042,285,286,0.032779334143368,1,2,35.7260552479923,0.0919129304202975
3000,16,419,3.82923084279381,321,322,0.0354982874752488,1,2,35.6142677541231,0.107519572471078
3000,17,420,3.40408080593403,275,276,0.0329926035536926,1,2,35.7984271353387,0.0950902337989501
3000,18,421,4.57141856130114,381,382,0.0354553261348328,1,2,36.0133888105219,0.126936639741204
3000,19,422,4.73721905351081,407,408,0.0361959609801685,1,2,35.9600042151057,0.131735775812864
3000,20,423,4.38493553660612,377,378,0.0302725883300269,1,2,35.5402605025167,0.123379386493118
3000,21,424,4.22512940117878,366,367,0.0335295648810002,1,2,35.5457265738787,0.118864623357669
3000,22,425,4.54816854320906,376,377,0.0360600129602057,1,2,35.5144124740074,0.128065431084854
3000,23,426,3.77996638656348,313,314,0.030783948785055,1,2,35.5180266780197,0.106423884998733
3000,24,427,4.60506902312383,392,393,0.035898097107003,1,2,35.8355136629188,0.128505735021429
3000,25,428,4.9649604709834,397,398,0.0331851743154911,1,2,36.3033888705834,0.136763002723597
