"n","simulation_run","seed","addario_hop_diameter","addario_num_vertices","addario_path_length"
550,1,404,126,127,3.69595765267709
550,2,405,139,140,4.06879772082424
550,3,406,135,136,4.21256341339681
550,4,407,132,133,3.75867491286533
550,5,408,110,111,2.83042738312316
550,6,409,145,146,4.21773840703932
550,7,410,124,125,3.30284656214956
550,8,411,150,151,4.15407315664986
550,9,412,162,163,4.77247175550713
550,10,413,126,127,3.86659207419793
550,11,414,134,135,3.78465639907931
550,12,415,105,106,3.08465828440174
550,13,416,134,135,3.82248290421881
550,14,417,138,139,3.8551799340946
550,15,418,156,157,4.45203424541148
550,16,419,105,106,3.04355966135401
550,17,420,93,94,2.7266477503461
550,18,421,153,154,4.33539127713613
550,19,422,102,103,2.94809163873183
550,20,423,112,113,3.10442779933937
550,21,424,120,121,3.57422169608237
550,22,425,161,162,4.61478024747415
550,23,426,154,155,4.25311832502755
550,24,427,154,155,4.0569654443465
550,25,428,142,143,4.29899162194839
550,26,429,157,158,4.35775840703054
550,27,430,115,116,3.37015572150754
550,28,431,102,103,3.16986745861045
550,29,432,126,127,3.87511586102315
550,30,433,169,170,5.04688402188131
550,31,434,87,88,2.58509198808045
550,32,435,133,134,3.63548686718198
550,33,436,139,140,4.1380837405279
550,34,437,137,138,4.00420200649905
550,35,438,128,129,3.9028511764747
550,36,439,108,109,3.17655810060817
550,37,440,159,160,4.51651251057042
550,38,441,128,129,3.71203240703739
550,39,442,176,177,5.29989167006029
550,40,443,95,96,2.89991545029018
550,41,444,130,131,3.7849973984393
550,42,445,116,117,3.370792736543
550,43,446,159,160,4.66118126236176
550,44,447,113,114,3.16947763888202
550,45,448,124,125,3.38046749298087
550,46,449,107,108,3.04187348309714
550,47,450,112,113,3.28013597223125
550,48,451,99,100,2.75299337500923
550,49,452,148,149,4.20156937360429
550,50,453,130,131,3.87307174584135
550,51,454,172,173,4.93896425180158
550,52,455,107,108,3.31524941263815
550,53,456,104,105,2.92121759904528
550,54,457,98,99,2.82178685732496
550,55,458,156,157,4.51358576909202
550,56,459,120,121,3.25396143482251
550,57,460,124,125,3.68837165102598
550,58,461,156,157,4.32992791018633
550,59,462,148,149,4.28160093208901
550,60,463,123,124,3.59273555592534
550,61,464,133,134,3.60079322579133
550,62,465,139,140,3.87084792274331
550,63,466,148,149,4.18785878777792
550,64,467,108,109,3.14510470799732
550,65,468,127,128,3.5966183140541
550,66,469,129,130,3.58027794069428
550,67,470,121,122,3.4099079176108
550,68,471,108,109,3.29012291316695
550,69,472,161,162,4.56949123143233
550,70,473,116,117,3.36188245875954
550,71,474,118,119,3.26819919205335
550,72,475,148,149,4.36320805166943
550,73,476,125,126,3.65689712194437
550,74,477,118,119,3.42609222948555
550,75,478,104,105,2.7805963649446
550,76,479,107,108,3.06824783869313
550,77,480,133,134,3.87437617682015
550,78,481,127,128,3.68724193509064
550,79,482,118,119,3.4231062642085
550,80,483,139,140,4.12650614901916
550,81,484,122,123,3.4339044873233
550,82,485,131,132,3.61296700501266
550,83,486,102,103,2.89101946959517
550,84,487,130,131,3.84933207513503
550,85,488,126,127,3.8611463206557
550,86,489,176,177,4.9069112692188
550,87,490,148,149,4.10535370310995
550,88,491,151,152,4.31104529163157
550,89,492,126,127,3.35296622699893
550,90,493,137,138,4.05522600591394
550,91,494,176,177,5.2672868002546
550,92,495,145,146,4.37525067326192
550,93,496,167,168,4.7388353131147
550,94,497,178,179,5.10103395196987
550,95,498,155,156,4.47590840271301
550,96,499,131,132,3.68809686068758
550,97,500,129,130,3.54286642837587
550,98,501,142,143,4.2485993661873
550,99,502,121,122,3.58244162086042
550,100,503,126,127,3.58124137941635
600,1,504,139,140,3.6537865868548
600,2,505,129,130,3.40933810218785
600,3,506,124,125,3.3319269028132
600,4,507,146,147,4.08536917658283
600,5,508,138,139,3.76321848165453
600,6,509,161,162,4.22986418707835
600,7,510,129,130,3.39953596749175
600,8,511,106,107,2.90313928235084
600,9,512,143,144,3.92968746458943
600,10,513,95,96,2.56574980709459
600,11,514,149,150,4.23957740297495
